,Ticker,Return
192,JUSTDIAL,69963.49975585938
193,CGCL,69963.4994506836
194,DHANI,69962.50030517578
195,M&MFIN,69962.49984741211
196,JSWSTEEL,69959.99938964844
197,BANKINDIA,69958.5001373291
198,JSLHISAR,69958.49975585938
199,ABFRL,69957.49969482422
200,RAILTEL,69957.00001525879
201,GICRE,69955.50003051758
202,MMTC,69954.50008392334
203,PRSMJOHNSN,69952.50007629395
204,M&M,69952.5
205,GRANULES,69952.49969482422
206,BDL,69952.49969482422
207,IIFL,69950.50018310547
208,HINDPETRO,69949.00115966797
209,ONGC,69948.00003051758
210,JUBLPHARMA,69947.5
211,EQUITASBNK,69943.99997711182
212,ITI,69940.99998474121
213,PRINCEPIPE,69938.00048828125
214,BIOCON,69938.00048828125
215,MIDHANI,69937.49984741211
216,LT,69935.0
217,INFIBEAM,69934.5000076294
218,IOLCP,69934.49981689453
219,CIPLA,69934.00085449219
220,CUB,69934.00024414062
221,EDELWEISS,69933.00010681152
222,ROUTE,69930.49926757812
223,SCI,69930.00015258789
224,GAEL,69928.00003051758
225,EQUITAS,69927.99980163574
226,JAMNAAUTO,69926.99996948242
227,CROMPTON,69926.50024414062
228,APOLLOTYRE,69922.00012207031
229,BANKBARODA,69922.00004577637
230,GSPL,69921.99951171875
231,GLAXO,69921.99829101562
232,ERIS,69920.00183105469
233,NATCOPHARM,69918.9990234375
234,FDC,69916.50085449219
235,ASTERDM,69914.49996948242
236,BPCL,69913.00018310547
237,POONAWALLA,69912.9997253418
238,FORTIS,69911.49993896484
239,ANURAS,69909.49951171875
240,JINDALSAW,69908.49998474121
241,FINCABLES,69903.50006103516
242,NMDC,69902.50045776367
243,DABUR,69899.00024414062
244,KNRCON,69898.50006103516
245,PETRONET,69894.49966430664
246,EIHOTEL,69893.99993896484
247,JKPAPER,69890.99975585938
248,INDHOTEL,69889.99984741211
249,JKTYRE,69887.49984741211
250,HEIDELBERG,69887.0004272461
251,IGL,69881.0009765625
252,CHALET,69879.49996948242
253,HCLTECH,69879.49951171875
254,REDINGTON,69877.5
255,ASHOKLEY,69875.50025939941
256,EIDPARRY,69875.0
257,IFBIND,69874.99755859375
258,HDFCBANK,69874.99633789062
259,SHRIRAMCIT,69874.50317382812
260,MAZDOCK,69873.00018310547
261,SBICARD,69871.0009765625
262,HINDALCO,69870.50048828125
263,KEC,69870.50018310547
264,PHOENIXLTD,69865.50109863281
265,DHANUKA,69864.00146484375
266,JKLAKSHMI,69864.00024414062
267,FINPIPE,69864.00024414062
268,CSBBANK,69860.0
269,PHILIPCARB,69856.99996948242
270,NOCIL,69856.50039672852
271,HATSUN,69854.50073242188
272,BHARTIARTL,69853.99780273438
273,AEGISCHEM,69848.50021362305
274,DBL,69845.00122070312
275,ORIENTELEC,69844.50012207031
276,MANAPPURAM,69843.49975585938
277,INDIACEM,69842.00057983398
278,MAHLOG,69840.50170898438
279,GESHIP,69839.49981689453
280,GRASIM,69838.00170898438
281,NAM-INDIA,69834.0005493164
282,SHARDACROP,69831.50024414062
283,GODREJCP,69822.99987792969
284,MARICO,69820.99914550781
285,CREDITACC,69818.49914550781
286,LAXMIMACH,69812.5
287,DELTACORP,69810.4997253418
288,MHRIL,69810.16647338867
289,GAIL,69807.0002746582
290,HINDCOPPER,69805.00015258789
291,RHIM,69804.50012207031
292,OIL,69796.49978637695
293,RITES,69790.00061035156
294,GUJGASLTD,69786.00158691406
295,ALKYLAMINE,69785.0146484375
296,BLUESTARCO,69784.50012207031
297,HINDUNILVR,69774.4970703125
298,BAJAJ-AUTO,69771.99951171875
299,MGL,69771.99829101562
300,CYIENT,69771.00158691406
301,HIKAL,69754.99877929688
302,IEX,69753.49975585938
303,INDIGOPNTS,69747.50244140625
304,SHILPAMED,69743.50158691406
305,ADVENZYMES,69738.99993896484
306,LUPIN,69735.00061035156
307,JSWENERGY,69733.50036621094
308,HINDZINC,69731.49993896484
309,INOXLEISUR,69730.99914550781
310,CHAMBLFERT,69719.99877929688
311,NESCO,69719.00024414062
312,KALPATPOWR,69716.00036621094
313,PRAJIND,69714.99969482422
314,MAXHEALTH,69709.00024414062
315,AMARAJABAT,69708.99841308594
316,BAJAJELEC,69706.99951171875
317,GRAPHITE,69704.49951171875
318,KSCL,69701.50024414062
319,ADANIENT,69688.5009765625
320,BBTC,69684.99877929688
321,MOTILALOFS,69680.50170898438
322,LXCHEM,69679.0005493164
323,ICICIPRULI,69660.50048828125
324,GALAXYSURF,69660.498046875
325,BSE,69660.00122070312
326,NH,69659.49890136719
327,AUROPHARMA,69655.00061035156
328,MPHASIS,69651.99951171875
329,COLPAL,69651.50146484375
330,NESTLEIND,69649.98046875
331,HAPPSTMNDS,69644.49951171875
332,DRREDDY,69641.005859375
333,FLUOROCHEM,69633.0029296875
334,EMAMILTD,69622.998046875
335,IRB,69622.49984741211
336,JINDALSTEL,69619.5004272461
337,INDUSINDBK,69615.0
338,CONCOR,69612.00134277344
339,AARTIDRUGS,69608.49914550781
340,HDFC,69597.5
341,HOMEFIRST,69568.49914550781
342,COROMANDEL,69563.49914550781
343,IPCALAB,69559.49951171875
344,POLYMED,69556.99890136719
345,HGS,69554.501953125
346,BHARATFORG,69548.99963378906
347,QUESS,69537.00012207031
348,IIFLWAM,69521.50146484375
349,JBCHEPHARM,69516.99829101562
350,BAJAJHLDNG,69498.99658203125
351,GRINDWELL,69472.99926757812
352,POLYCAB,69467.00561523438
353,BAJFINANCE,69461.494140625
354,PNBHOUSING,69444.99938964844
355,HDFCLIFE,69434.99938964844
356,ESCORTS,69377.001953125
357,ASTRAZEN,69305.99853515625
358,BLUEDART,69302.0068359375
359,PVR,69237.001953125
360,ADANIGREEN,69220.99975585938
361,CARBORUNIV,69213.49975585938
362,BRITANNIA,69163.5009765625
363,DALBHARAT,69157.50610351562
364,INTELLECT,69148.00109863281
365,SFL,69148.00048828125
366,SHREECEM,69139.0234375
367,GILLETTE,69117.0068359375
368,CEATLTD,69115.49926757812
369,CENTURYTEX,69087.00073242188
370,RATNAMANI,69049.99755859375
371,ABB,68997.99682617188
372,DCMSHRIRAM,68975.50170898438
373,GMMPFAUDLR,68911.4990234375
374,ASTRAL,68883.49975585938
375,PGHH,68868.017578125
376,HAVELLS,68845.99853515625
377,HAL,68842.50244140625
378,DEEPAKNTR,68842.00439453125
379,POLYPLEX,68829.99755859375
380,PIDILITIND,68774.00146484375
381,BAYERCROP,68737.4951171875
382,AUBANK,68604.00268554688
383,SCHAEFFLER,68554.9951171875
384,CRISIL,68350.0
385,LALPATHLAB,68293.00048828125
386,CERA,68131.4990234375
387,NAVINFLUOR,68116.9921875
388,BHARATRAS,68060.99609375
389,KSB,67925.49926757812
390,DIXON,67904.49951171875
391,SRF,67817.49877929688
392,OFSS,67816.4990234375
393,DIVISLAB,67813.0029296875
394,ABBOTINDIA,67748.49609375
395,ATUL,67615.986328125
396,PFIZER,66244.5166015625
397,BAJAJFINSV,64489.00390625
398,MRF,63174.453125
399,PAGEIND,59760.01953125
